citation_label,anchor_role,proof_role,proof_strength,source_name,page_number,page_id,source_member,matched_part_number,context_priority,anchor_status
E1,direct_exact_match_anchor,direct_exact_match_proven,direct_exact_proof,ocr_route_scan_pack,343,t_p_120_1176_p000343,00000343.tif,120-29073-001,1000.0,ANCHOR_INJECTED
E2,direct_exact_match_anchor,direct_exact_match_proven,direct_exact_proof,ocr_route_scan_pack,346,t_p_120_1176_p000346,00000346.tif,120-29073-001,1000.0,ANCHOR_INJECTED
E3,direct_exact_match_anchor,direct_exact_match_proven,direct_exact_proof,ocr_route_scan_pack,349,t_p_120_1176_p000349,00000349.tif,120-29073-001,1000.0,ANCHOR_INJECTED
E4,direct_exact_match_anchor,direct_exact_match_proven,direct_exact_proof,ocr_route_scan_pack,352,t_p_120_1176_p000352,00000352.tif,120-29073-001,1000.0,ANCHOR_INJECTED
E5,direct_exact_match_anchor,direct_exact_match_proven,direct_exact_proof,ocr_route_scan_pack,355,t_p_120_1176_p000355,00000355.tif,120-29073-001,1000.0,ANCHOR_INJECTED
E6,direct_exact_match_anchor,direct_exact_match_proven,direct_exact_proof,ocr_route_scan_pack,358,t_p_120_1176_p000358,00000358.tif,120-29073-001,1000.0,ANCHOR_INJECTED
E7,direct_exact_match_anchor,direct_exact_match_proven,direct_exact_proof,ocr_route_scan_pack,361,t_p_120_1176_p000361,00000361.tif,120-29073-001,1000.0,ANCHOR_INJECTED
E8,direct_exact_match_anchor,direct_exact_match_proven,direct_exact_proof,ocr_route_scan_pack,364,t_p_120_1176_p000364,00000364.tif,120-29073-001,1000.0,ANCHOR_INJECTED
E9,exact_reference_anchor,exact_metadata_candidate,exact_reference,ocr_route_scan_pack,32,t_p_120_1176_p000032,00000032.tif,120-29073-001,650.0,ANCHOR_INJECTED
E10,exact_reference_anchor,exact_metadata_candidate,exact_reference,ocr_route_scan_pack,32,t_p_120_1176_p000032,00000032.tif,120-29073-001,650.0,ANCHOR_INJECTED
E11,exact_reference_anchor,exact_metadata_candidate,exact_reference,ocr_route_scan_pack,32,t_p_120_1176_p000032,00000032.tif,120-29073-001,650.0,ANCHOR_INJECTED
E12,exact_reference_anchor,exact_metadata_candidate,exact_reference,ocr_route_scan_pack,32,t_p_120_1176_p000032,00000032.tif,120-29073-001,650.0,ANCHOR_INJECTED
E13,exact_reference_anchor,exact_metadata_candidate,exact_reference,ocr_route_scan_pack,343,t_p_120_1176_p000343,00000343.tif,120-29073-001,650.0,ANCHOR_INJECTED
