citation_label,valid,anchor_aware_role,proof_strength,anchor_relation_type,page_number,page_id
E1,False,direct_exact_match_anchor,direct_exact_proof,exact_anchor,343,t_p_120_1176_p000343
E2,False,direct_exact_match_anchor,direct_exact_proof,exact_anchor,346,t_p_120_1176_p000346
E3,False,direct_exact_match_anchor,direct_exact_proof,exact_anchor,349,t_p_120_1176_p000349
E4,False,direct_exact_match_anchor,direct_exact_proof,exact_anchor,352,t_p_120_1176_p000352
E5,False,direct_exact_match_anchor,direct_exact_proof,exact_anchor,355,t_p_120_1176_p000355
E6,False,direct_exact_match_anchor,direct_exact_proof,exact_anchor,358,t_p_120_1176_p000358
E7,False,direct_exact_match_anchor,direct_exact_proof,exact_anchor,361,t_p_120_1176_p000361
E8,False,direct_exact_match_anchor,direct_exact_proof,exact_anchor,364,t_p_120_1176_p000364
E9,False,exact_reference_anchor,exact_reference,exact_reference,32,t_p_120_1176_p000032
E10,False,exact_reference_anchor,exact_reference,exact_reference,32,t_p_120_1176_p000032
E11,False,exact_reference_anchor,exact_reference,exact_reference,32,t_p_120_1176_p000032
E12,False,exact_reference_anchor,exact_reference,exact_reference,32,t_p_120_1176_p000032
E13,False,exact_reference_anchor,exact_reference,exact_reference,343,t_p_120_1176_p000343
E14,False,exact_reference_anchor,exact_reference,exact_reference,343,t_p_120_1176_p000343
E15,False,exact_reference_anchor,exact_reference,exact_reference,343,t_p_120_1176_p000343
E16,False,exact_reference_anchor,exact_reference,exact_reference,343,t_p_120_1176_p000343
E17,False,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032
E18,False,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032
E19,False,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032
E20,False,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032
E21,False,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032
E22,False,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032
E23,False,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032
E24,False,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032
E25,False,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346
E26,False,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346
E27,False,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346
E28,False,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346
E29,False,superseded_direct_candidate,direct_candidate,superseded_by_exact_anchors,5,t_p_120_1176_p000005
E30,False,similar_table_candidate,weak_candidate,retained_support_context,45,t_p_120_1176_p000045
E31,False,same_anchor_leiden_community_neighbor,weak_candidate,same_anchor_leiden_community,55,t_p_120_1176_p000055
E32,False,similar_table_candidate,weak_candidate,retained_support_context,65,t_p_120_1176_p000065
E33,False,similar_table_candidate,weak_candidate,retained_support_context,75,t_p_120_1176_p000075
E34,False,similar_table_candidate,weak_candidate,retained_support_context,85,t_p_120_1176_p000085
E35,False,similar_table_candidate,weak_candidate,retained_support_context,95,t_p_120_1176_p000095
E36,False,similar_table_candidate,weak_candidate,retained_support_context,105,t_p_120_1176_p000105
