page_number,page_id,final_validated_operational_route,storage_decision,loader_decision,blocked_reason,source_member,source_image_sha256,answer_permission,dry_run_only,final_do_not_embed,live_write_enabled,loader_target,raw_tiff_reference,source_truth_mutation_allowed,validator_gated,write_attempted
2,t_p_120_1176_p000002,blank,graph_only_blank,graph_only_no_qdrant_no_opensearch,blank_pages_are_recorded_in_graph_but_not_embedded,,,False,True,True,False,blocked_from_retrieval_loaders,,False,False,False
12,t_p_120_1176_p000012,blank,graph_only_blank,graph_only_no_qdrant_no_opensearch,blank_pages_are_recorded_in_graph_but_not_embedded,,,False,True,True,False,blocked_from_retrieval_loaders,,False,False,False
14,t_p_120_1176_p000014,plain_text,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
25,t_p_120_1176_p000025,blank,graph_only_blank,graph_only_no_qdrant_no_opensearch,blank_pages_are_recorded_in_graph_but_not_embedded,,,False,True,True,False,blocked_from_retrieval_loaders,,False,False,False
26,t_p_120_1176_p000026,plain_text,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
35,t_p_120_1176_p000035,blank,graph_only_blank,graph_only_no_qdrant_no_opensearch,blank_pages_are_recorded_in_graph_but_not_embedded,,,False,True,True,False,blocked_from_retrieval_loaders,,False,False,False
79,t_p_120_1176_p000079,blank,graph_only_blank,graph_only_no_qdrant_no_opensearch,blank_pages_are_recorded_in_graph_but_not_embedded,,,False,True,True,False,blocked_from_retrieval_loaders,,False,False,False
80,t_p_120_1176_p000080,plain_text,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
81,t_p_120_1176_p000081,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
84,t_p_120_1176_p000084,table,graph_only_validator_gated,graph_only_no_qdrant_no_opensearch,blocked_until_validator_or_retry_passes,,,False,True,True,False,blocked_from_retrieval_loaders,,False,True,False
91,t_p_120_1176_p000091,blank,graph_only_blank,graph_only_no_qdrant_no_opensearch,blank_pages_are_recorded_in_graph_but_not_embedded,,,False,True,True,False,blocked_from_retrieval_loaders,,False,False,False
