citation_label,composer_role,anchor_aware_role,proof_strength,anchor_relation_type,page_number,page_id,part_family_match_score,matched_family_parts
E7,part_family_direct_anchor,direct_exact_match_anchor,direct_exact_proof,exact_anchor,361,t_p_120_1176_p000361,88,120-29073-001;120-29073-005;120-29073-007
E2,part_family_direct_anchor,direct_exact_match_anchor,direct_exact_proof,exact_anchor,346,t_p_120_1176_p000346,87,120-29073-001;120-29073-005
E3,part_family_direct_anchor,direct_exact_match_anchor,direct_exact_proof,exact_anchor,349,t_p_120_1176_p000349,87,120-29073-001;120-29073-005
E5,part_family_direct_anchor,direct_exact_match_anchor,direct_exact_proof,exact_anchor,355,t_p_120_1176_p000355,87,120-29073-001;120-29073-005
E6,part_family_direct_anchor,direct_exact_match_anchor,direct_exact_proof,exact_anchor,358,t_p_120_1176_p000358,87,120-29073-001;120-29073-005
E1,part_family_direct_anchor,direct_exact_match_anchor,direct_exact_proof,exact_anchor,343,t_p_120_1176_p000343,86,120-29073-001
E4,part_family_direct_anchor,direct_exact_match_anchor,direct_exact_proof,exact_anchor,352,t_p_120_1176_p000352,86,120-29073-001
E8,part_family_direct_anchor,direct_exact_match_anchor,direct_exact_proof,exact_anchor,364,t_p_120_1176_p000364,86,120-29073-001
E25,part_family_variant_evidence,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346,81,120-29073-005
E26,part_family_variant_evidence,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346,81,120-29073-005
E27,part_family_variant_evidence,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346,81,120-29073-005
E28,part_family_variant_evidence,same_anchor_community_variant,related_variant,same_anchor_leiden_community_variant,346,t_p_120_1176_p000346,81,120-29073-005
E17,part_family_variant_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,71,120-29073-005
E18,part_family_variant_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,71,120-29073-007
E19,part_family_variant_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,71,120-29073-005
E20,part_family_variant_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,71,120-29073-007
E21,part_family_variant_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,71,120-29073-005
E22,part_family_variant_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,71,120-29073-007
E23,part_family_variant_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,71,120-29073-005
E24,part_family_variant_evidence,family_variant_anchor,related_variant,part_family_variant,32,t_p_120_1176_p000032,71,120-29073-007
E13,part_family_related_context,exact_reference_anchor,exact_reference,exact_reference,343,t_p_120_1176_p000343,36,120-29073-001
E14,part_family_related_context,exact_reference_anchor,exact_reference,exact_reference,343,t_p_120_1176_p000343,36,120-29073-001
E15,part_family_related_context,exact_reference_anchor,exact_reference,exact_reference,343,t_p_120_1176_p000343,36,120-29073-001
