score,path,location,suffix,size_bytes,categories,function_count,class_count,argparse_arg_count,route_count,tiff_import_count
398,tiff/trace_net_webui_self_rag_crag_bridge_v1.py,active_source_code,.py,34492,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",22,0,27,0,5
332,scripts/build_trace_net_webui_self_rag_crag_bridge_v1.py,active_source_code,.py,291,"page,self_rag,server,webui",0,0,0,0,1
332,scripts/check_trace_net_webui_self_rag_crag_bridge_v1_quality.py,active_source_code,.py,291,"page,self_rag,server,webui",0,0,0,0,1
324,tiff/trace_net_e2e_live_self_rag_crag_evaluator_v20.py,active_source_code,.py,29992,"context_pack,crag,graph_vector,page,safety,self_rag,server,table_visual_ocr",26,0,18,0,0
317,tiff/trace_net_engineering_engram_answer_runner_overlay_llm_smoke_v1.py,active_source_code,.py,30384,"context_pack,crag,engram,graph_vector,page,safety,server,table_visual_ocr,webui",25,0,33,2,0
310,tiff/trace_net_engineering_engram_answer_runner_retrieval_bridge_v1.py,active_source_code,.py,17340,"context_pack,crag,engram,graph_vector,page,safety,self_rag,server,table_visual_ocr,webui",17,0,11,0,0
307,tests/unit/test_trace_net_webui_self_rag_crag_bridge_v1.py,active_tests,.py,8715,"context_pack,crag,graph_vector,page,safety,self_rag,server,table_visual_ocr,webui",16,0,0,0,1
307,tiff/trace_net_engineering_engram_crag_repair_v1.py,active_source_code,.py,19655,"crag,engram,feedback,final_gate,graph_vector,page,safety,self_rag,server",17,0,12,0,0
299,tests/unit/test_trace_net_webui_self_rag_crag_bridge_v1_visual_context.py,active_tests,.py,6076,"context_pack,graph_vector,page,safety,self_rag,server,table_visual_ocr,webui",8,0,0,0,1
299,tiff/trace_net_engineering_engram_self_rag_critic_v1.py,active_source_code,.py,19311,"context_pack,crag,engram,graph_vector,page,safety,self_rag,server",15,0,17,0,0
298,local_data/organization/trace_net/webui_self_rag_crag_bridge/stage_reports/query_planner/trace_net_engineering_query_planner_v1.json,generated_or_runtime_artifact,.json,6345,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
298,local_data/organization/trace_net/webui_self_rag_crag_bridge/stage_reports/query_planner/trace_net_engineering_query_planner_v1_records.jsonl,generated_or_runtime_artifact,.jsonl,3231,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
298,local_data/organization/trace_net/webui_self_rag_crag_bridge_fresh_test/stage_reports/query_planner/trace_net_engineering_query_planner_v1.json,generated_or_runtime_artifact,.json,6345,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
298,local_data/organization/trace_net/webui_self_rag_crag_bridge_fresh_test/stage_reports/query_planner/trace_net_engineering_query_planner_v1_records.jsonl,generated_or_runtime_artifact,.jsonl,3231,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
298,local_data/organization/trace_net/webui_self_rag_crag_bridge_visual/stage_reports/query_planner/trace_net_engineering_query_planner_v1.json,generated_or_runtime_artifact,.json,6345,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
298,local_data/organization/trace_net/webui_self_rag_crag_bridge_visual/stage_reports/query_planner/trace_net_engineering_query_planner_v1_records.jsonl,generated_or_runtime_artifact,.jsonl,3231,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
294,tiff/trace_net_engineering_engram_answer_runner_prompt_overlay_smoke_v1.py,active_source_code,.py,19974,"context_pack,crag,engram,graph_vector,page,safety,server,webui",22,0,12,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge/stage_reports/context_pack_blueprint/trace_net_engineering_context_pack_blueprint_v1.json,generated_or_runtime_artifact,.json,13157,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge/stage_reports/context_pack_blueprint/trace_net_engineering_context_pack_blueprint_v1_records.jsonl,generated_or_runtime_artifact,.jsonl,8601,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1.json,generated_or_runtime_artifact,.json,123108,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1_records.jsonl,generated_or_runtime_artifact,.jsonl,97487,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge_fresh_test/stage_reports/context_pack_blueprint/trace_net_engineering_context_pack_blueprint_v1.json,generated_or_runtime_artifact,.json,13168,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge_fresh_test/stage_reports/context_pack_blueprint/trace_net_engineering_context_pack_blueprint_v1_records.jsonl,generated_or_runtime_artifact,.jsonl,8601,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge_fresh_test/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1.json,generated_or_runtime_artifact,.json,123119,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge_fresh_test/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1_records.jsonl,generated_or_runtime_artifact,.jsonl,97487,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge_visual/stage_reports/context_pack_blueprint/trace_net_engineering_context_pack_blueprint_v1.json,generated_or_runtime_artifact,.json,13164,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge_visual/stage_reports/context_pack_blueprint/trace_net_engineering_context_pack_blueprint_v1_records.jsonl,generated_or_runtime_artifact,.jsonl,8601,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge_visual/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1.json,generated_or_runtime_artifact,.json,123115,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
293,local_data/organization/trace_net/webui_self_rag_crag_bridge_visual/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1_records.jsonl,generated_or_runtime_artifact,.jsonl,97487,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
292,scripts/check_trace_net_e2e_live_self_rag_crag_evaluator_v20_quality.py,active_source_code,.py,1400,"crag,page,self_rag,server",1,0,2,0,1
291,tests/unit/test_trace_net_webui_self_rag_crag_bridge_v1_quality.py,active_tests,.py,3272,"context_pack,graph_vector,page,safety,self_rag,server,webui",3,0,0,0,1
283,docs/trace_net/archive/old_patch_folders/trace_net_webui_self_rag_crag_bridge_v1_patch/tiff/trace_net_webui_self_rag_crag_bridge_v1.py,archived_reference,.py,27636,"context_pack,crag,final_gate,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",20,0,24,0,5
283,scripts/check_trace_net_engineering_engram_crag_repair_v1.py,active_source_code,.py,1923,"crag,engram,page,safety,self_rag,server",1,0,8,0,1
277,local_data/organization/trace_net/webui_self_rag_crag_bridge/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1_quality.json,generated_or_runtime_artifact,.json,1821,"context_pack,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
277,local_data/organization/trace_net/webui_self_rag_crag_bridge/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1_summary.json,generated_or_runtime_artifact,.json,1667,"context_pack,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
277,local_data/organization/trace_net/webui_self_rag_crag_bridge_fresh_test/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1_quality.json,generated_or_runtime_artifact,.json,1821,"context_pack,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
277,local_data/organization/trace_net/webui_self_rag_crag_bridge_fresh_test/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1_summary.json,generated_or_runtime_artifact,.json,1667,"context_pack,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
277,local_data/organization/trace_net/webui_self_rag_crag_bridge_visual/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1_quality.json,generated_or_runtime_artifact,.json,1821,"context_pack,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
277,local_data/organization/trace_net/webui_self_rag_crag_bridge_visual/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1_summary.json,generated_or_runtime_artifact,.json,1667,"context_pack,graph_vector,page,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
274,scripts/build_trace_net_e2e_live_self_rag_crag_evaluator_v20.py,active_source_code,.py,323,"page,self_rag,server",0,0,0,0,1
273,scripts/build_trace_net_page_context_pack_v3.py,active_source_code,.py,6572,"context_pack,graph_vector,page,server,table_visual_ocr,webui",6,0,11,0,1
270,scripts/check_trace_net_engineering_engram_answer_runner_prompt_overlay_smoke_v1.py,active_source_code,.py,2220,"engram,page,safety,server,webui",1,0,7,0,1
270,scripts/check_trace_net_engineering_engram_answer_runner_retrieval_bridge_v1.py,active_source_code,.py,1915,"engram,page,safety,server,webui",2,0,7,0,1
270,tiff/trace_net_e2e_live_llm_final_gate_v23.py,active_source_code,.py,33073,"context_pack,crag,final_gate,graph_vector,page,safety,self_rag,server,table_visual_ocr,webui",37,0,35,0,0
269,local_data/organization/trace_net/webui_self_rag_crag_bridge/stage_reports/context_pack_blueprint/trace_net_engineering_context_pack_blueprint_v1_quality.json,generated_or_runtime_artifact,.json,926,"context_pack,graph_vector,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
269,local_data/organization/trace_net/webui_self_rag_crag_bridge/stage_reports/context_pack_blueprint/trace_net_engineering_context_pack_blueprint_v1_summary.json,generated_or_runtime_artifact,.json,826,"context_pack,graph_vector,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
269,local_data/organization/trace_net/webui_self_rag_crag_bridge/stage_reports/context_pack_builder/trace_net_engineering_context_pack_builder_v1.md,generated_or_runtime_artifact,.md,1202,"context_pack,graph_vector,page,planner,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
269,local_data/organization/trace_net/webui_self_rag_crag_bridge_fresh_test/stage_reports/context_pack_blueprint/trace_net_engineering_context_pack_blueprint_v1_quality.json,generated_or_runtime_artifact,.json,926,"context_pack,graph_vector,planner,safety,self_rag,server,table_visual_ocr,webui",0,0,0,0,0
