page_number,page_id,legacy_route,primary_route,secondary_routes,route_confidence_score,route_confidence_band,auto_resolved,multi_route_required,validator_required,do_not_embed,candidate_routes,route_reasons,validator_contracts,ocr_text_word_count,part_number_count,source_member,source_image_path,ocr_text_path
1,t_p_120_1176_p000001,table,cover_or_title_page,[],100.0,high,True,False,False,False,"[""cover_or_title_page"", ""table_or_index""]","[""first_page_strong_publication_identity""]","[""front_matter_identity_scan""]",63,0,00000001.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000001.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000001.txt
2,t_p_120_1176_p000002,blank_candidate,blank_candidate,[],98.0,high,True,False,False,True,"[""blank_candidate""]","[""empty_or_near_empty_ocr_low_signal""]","[""blank_candidate_confirmation_scan""]",0,0,00000002.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000002.tif,
3,t_p_120_1176_p000003,table,detailed_parts_list,[],94.0,high,True,False,False,False,"[""detailed_parts_list"", ""table_or_index""]","[""high_part_number_density""]","[""detailed_parts_list_extraction_scan""]",175,113,00000003.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000003.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000003.txt
4,t_p_120_1176_p000004,normal_text,procedure_or_description,[],82.0,medium,False,False,True,True,"[""procedure_or_description""]","[""procedure_or_description_terms_with_paragraph_text""]","[""procedure_description_context_scan""]",128,0,00000004.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000004.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000004.txt
5,t_p_120_1176_p000005,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",397,0,00000005.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000005.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000005.txt
6,t_p_120_1176_p000006,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",417,0,00000006.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000006.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000006.txt
7,t_p_120_1176_p000007,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",374,0,00000007.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000007.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000007.txt
8,t_p_120_1176_p000008,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",368,0,00000008.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000008.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000008.txt
9,t_p_120_1176_p000009,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",373,0,00000009.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000009.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000009.txt
10,t_p_120_1176_p000010,table,table_or_index,[],90.0,high,True,False,False,False,"[""table_or_index""]","[""table_or_index_terms"", ""legacy_table_signal""]","[""table_ocr_table_candidate_scan""]",364,0,00000010.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\page_images\t_p_120_1176_p000010.tif,local_data\organization\trace_net\ocr_route_scan_pack_tesseract_full\ocr_text\t_p_120_1176_p000010.txt
