page_id,table_id,table_type,human_review_verdict,review_notes,overlay_path,production_vertical_line_count,production_intersection_count,estimator_vertical_line_count,estimator_intersection_count
t_p_120_1176_p000003,normtable__f81df1cc10f27d,parts_list_table,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/001_t_p_120_1176_p000003_32c16dab5af8c021.png,1,0,38,58
t_p_120_1176_p000005,normtable__7f7b5da7a9e22e,list_of_effective_pages,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/002_t_p_120_1176_p000005_d82f138a0e841021.png,0,0,47,258
t_p_120_1176_p000006,normtable__764aa02af38eb4,list_of_effective_pages,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/003_t_p_120_1176_p000006_17f4ec6bda677dbb.png,0,0,61,608
t_p_120_1176_p000007,normtable__eb2feaf8184b19,list_of_effective_pages,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/004_t_p_120_1176_p000007_35e6d3a5e17b36da.png,0,0,51,275
t_p_120_1176_p000008,normtable__d1b977339f3dbd,list_of_effective_pages,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/005_t_p_120_1176_p000008_78cafb5db2fbebe9.png,0,0,44,236
t_p_120_1176_p000009,normtable__6d41f24dae2feb,list_of_effective_pages,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/006_t_p_120_1176_p000009_3d2345682b5aec31.png,0,0,47,267
t_p_120_1176_p000010,normtable__5a5f503faa1d6e,list_of_effective_pages,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/007_t_p_120_1176_p000010_076ae160c4b5ae1a.png,0,0,40,225
t_p_120_1176_p000011,normtable__467baede2d74c0,list_of_effective_pages,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/008_t_p_120_1176_p000011_32787254dfba53c5.png,0,0,20,109
t_p_120_1176_p000013,normtable__7333dbe048e0b1,index_table,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/009_t_p_120_1176_p000013_8fad5c0d33a4d591.png,10,150,10,318
t_p_120_1176_p000014,normtable__383a34735f6211,index_table,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/010_t_p_120_1176_p000014_af7a34632b25219a.png,8,120,8,258
t_p_120_1176_p000027,normtable__ceb30b4224686b,ata_index_table,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/011_t_p_120_1176_p000027_2725f0816b00f8f9.png,8,16,37,74
t_p_120_1176_p000028,normtable__9ded89bb38cc5c,ata_index_table,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/012_t_p_120_1176_p000028_46d14b3db1bda35a.png,8,16,36,72
t_p_120_1176_p000029,normtable__572f3f5e658f20,parts_list_table,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/013_t_p_120_1176_p000029_bda69ff429278aa6.png,8,16,35,70
t_p_120_1176_p000030,normtable__ef1e3e215be5b4,parts_list_table,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/014_t_p_120_1176_p000030_64a1dbae3f16793f.png,8,16,25,50
t_p_120_1176_p000031,normtable__a2318342d8032a,list_of_effective_pages,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/015_t_p_120_1176_p000031_6e260df0b1293143.png,8,16,28,56
t_p_120_1176_p000032,normtable__e031629faa20ec,parts_list_table,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/016_t_p_120_1176_p000032_37c49c32d731786e.png,9,16,26,52
t_p_120_1176_p000033,normtable__a28060eb2bf80d,ata_index_table,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/017_t_p_120_1176_p000033_50f6e373a7ad7d26.png,8,16,34,68
t_p_120_1176_p000034,normtable__37db1b274874e6,list_of_effective_pages,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/018_t_p_120_1176_p000034_679d244853f3cc8d.png,8,16,8,16
t_p_120_1176_p000036,normtable__3e3988c2ff19a9,parts_list_table,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/019_t_p_120_1176_p000036_6683ca6d98cd01bb.png,8,16,32,64
t_p_120_1176_p000037,normtable__7a94bb4b46b16f,parts_list_table,UNREVIEWED,,local_data/organization/trace_net/table_detector_overlay_audit/overlays/020_t_p_120_1176_p000037_65bf9a221b97f22b.png,9,16,33,64
