level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3205	4146	-1	
2	1	1	0	0	0	435	56	2531	3906	-1	
3	1	1	1	0	0	439	56	2527	3906	-1	
4	1	1	1	1	0	1425	56	560	146	-1	
5	1	1	1	1	1	1425	56	146	146	57.113590	-<€
5	1	1	1	1	2	1619	108	366	40	96.566917	EMBRAER
4	1	1	1	2	0	1376	224	662	41	-1	
5	1	1	1	2	1	1376	224	328	41	95.512085	MAINTENANCE
5	1	1	1	2	2	1721	225	191	40	96.087433	MANUAL
5	1	1	1	2	3	1926	225	112	39	96.219376	WITH
4	1	1	1	3	0	1419	286	576	41	-1	
5	1	1	1	3	1	1419	286	304	41	96.211006	ILLUSTRATED
5	1	1	1	3	2	1741	286	145	41	96.211006	PARTS
5	1	1	1	3	3	1903	286	92	41	96.720131	LIST
4	1	1	1	4	0	443	402	1595	42	-1	
5	1	1	1	4	1	443	402	257	42	96.302505	CHAPTER
5	1	1	1	4	2	1781	402	257	42	96.302505	CHAPTER
4	1	1	1	5	0	435	471	1587	73	-1	
5	1	1	1	5	1	435	471	250	73	96.457108	SECTION
5	1	1	1	5	2	1777	475	245	50	96.118645	SECTION
4	1	1	1	6	0	435	547	2437	71	-1	
5	1	1	1	6	1	435	547	261	71	96.548851	SUBJECT
5	1	1	1	6	2	1040	547	154	71	96.843155	PAGE
5	1	1	1	6	3	1411	548	152	70	96.841408	DATE
5	1	1	1	6	4	1773	547	261	71	96.548851	SUBJECT
5	1	1	1	6	5	2366	547	154	71	96.818588	PAGE
5	1	1	1	6	6	2729	552	143	48	96.803558	DATE
4	1	1	1	7	0	447	634	2519	52	-1	
5	1	1	1	7	1	447	635	158	40	89.830391	25-IPL
5	1	1	1	7	2	1062	636	113	39	96.916595	1352
5	1	1	1	7	3	1385	634	93	52	95.599144	Sep
5	1	1	1	7	4	1498	635	132	40	95.599144	30/98
5	1	1	1	7	5	1783	635	158	40	91.793945	25-IPL
5	1	1	1	7	6	2398	636	106	39	96.417000	1391
5	1	1	1	7	7	2721	634	93	52	95.993828	Sep
5	1	1	1	7	8	2834	635	132	40	95.993828	30/98
4	1	1	1	8	0	447	707	2519	52	-1	
5	1	1	1	8	1	447	708	158	40	89.830391	25-IPL
5	1	1	1	8	2	1012	708	18	17	92.754860	*
5	1	1	1	8	3	1062	709	113	39	96.626595	1353
5	1	1	1	8	4	1379	708	86	51	94.491440	Apr
5	1	1	1	8	5	1501	708	129	40	94.491440	10/06
5	1	1	1	8	6	1783	708	158	40	91.793945	25-IPL
5	1	1	1	8	7	2398	709	113	39	96.799637	1392
5	1	1	1	8	8	2721	707	93	52	95.993828	Sep
5	1	1	1	8	9	2834	708	132	40	95.993828	30/98
4	1	1	1	9	0	447	780	2519	53	-1	
5	1	1	1	9	1	447	782	158	40	91.470619	25-IPL
