source_link_id,manual_id,publication_number,ata_code,page_sequence,page_label,page_type,title,rescarta_object_id,rescarta_page_id,rescarta_url,source_url,tiff_path,ocr_text_path
t_p_120_1176:t_p_120_1176_p000001,t_p_120_1176,T.P. 120/1176,25-21-00,1,1,,,t_p_120_1176,000001,http://localhost:8080/rescarta/t_p_120_1176/000001,http://localhost:8080/rescarta/t_p_120_1176/000001,local_data\rescarta_exports\t_p_120_1176\pages\000001_00000001.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000001_00000001.txt
t_p_120_1176:t_p_120_1176_p000002,t_p_120_1176,T.P. 120/1176,25-21-00,2,2,,,t_p_120_1176,000002,http://localhost:8080/rescarta/t_p_120_1176/000002,http://localhost:8080/rescarta/t_p_120_1176/000002,local_data\rescarta_exports\t_p_120_1176\pages\000002_00000002.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000002_00000002.txt
t_p_120_1176:t_p_120_1176_p000003,t_p_120_1176,T.P. 120/1176,25-21-00,3,i/ii,,APPLICABILITY,t_p_120_1176,000003,http://localhost:8080/rescarta/t_p_120_1176/000003,http://localhost:8080/rescarta/t_p_120_1176/000003,local_data\rescarta_exports\t_p_120_1176\pages\000003_00000003.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000003_00000003.txt
t_p_120_1176:t_p_120_1176_p000004,t_p_120_1176,T.P. 120/1176,25-21-00,4,1,,INTRODUCTION,t_p_120_1176,000004,http://localhost:8080/rescarta/t_p_120_1176/000004,http://localhost:8080/rescarta/t_p_120_1176/000004,local_data\rescarta_exports\t_p_120_1176\pages\000004_00000004.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000004_00000004.txt
t_p_120_1176:t_p_120_1176_p000005,t_p_120_1176,T.P. 120/1176,25-21-00,5,1,,LIST OF EFFECTIVE PAGES,t_p_120_1176,000005,http://localhost:8080/rescarta/t_p_120_1176/000005,http://localhost:8080/rescarta/t_p_120_1176/000005,local_data\rescarta_exports\t_p_120_1176\pages\000005_00000005.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000005_00000005.txt
t_p_120_1176:t_p_120_1176_p000006,t_p_120_1176,T.P. 120/1176,25-21-00,6,2,,LIST OF EFFECTIVE PAGES,t_p_120_1176,000006,http://localhost:8080/rescarta/t_p_120_1176/000006,http://localhost:8080/rescarta/t_p_120_1176/000006,local_data\rescarta_exports\t_p_120_1176\pages\000006_00000006.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000006_00000006.txt
t_p_120_1176:t_p_120_1176_p000007,t_p_120_1176,T.P. 120/1176,25-21-00,7,3,,LIST OF EFFECTIVE PAGES,t_p_120_1176,000007,http://localhost:8080/rescarta/t_p_120_1176/000007,http://localhost:8080/rescarta/t_p_120_1176/000007,local_data\rescarta_exports\t_p_120_1176\pages\000007_00000007.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000007_00000007.txt
t_p_120_1176:t_p_120_1176_p000008,t_p_120_1176,T.P. 120/1176,25-21-00,8,4,,LIST OF EFFECTIVE PAGES,t_p_120_1176,000008,http://localhost:8080/rescarta/t_p_120_1176/000008,http://localhost:8080/rescarta/t_p_120_1176/000008,local_data\rescarta_exports\t_p_120_1176\pages\000008_00000008.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000008_00000008.txt
t_p_120_1176:t_p_120_1176_p000009,t_p_120_1176,T.P. 120/1176,25-21-00,9,5,,LIST OF EFFECTIVE PAGES,t_p_120_1176,000009,http://localhost:8080/rescarta/t_p_120_1176/000009,http://localhost:8080/rescarta/t_p_120_1176/000009,local_data\rescarta_exports\t_p_120_1176\pages\000009_00000009.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000009_00000009.txt
t_p_120_1176:t_p_120_1176_p000010,t_p_120_1176,T.P. 120/1176,25-21-00,10,6,,LIST OF EFFECTIVE PAGES,t_p_120_1176,000010,http://localhost:8080/rescarta/t_p_120_1176/000010,http://localhost:8080/rescarta/t_p_120_1176/000010,local_data\rescarta_exports\t_p_120_1176\pages\000010_00000010.tif,local_data\rescarta_exports\t_p_120_1176\ocr\000010_00000010.txt
